computer_time,GPS_time,latitude,longitude,altitude,track,mode
1647358791.103361,1647358793,41.489367667,-71.422717667,60.3,0.0,3
1647358792.107182,1647358794,41.489360833,-71.422717667,61.0,0.0,3
1647358793.111093,1647358795,41.489357833,-71.422717833,61.0,0.0,3
1647358794.114843,1647358796,41.48936,-71.422718333,60.0,0.0,3
1647358795.017705,1647358797,41.489363,-71.422719167,59.0,0.0,3
1647358795.920111,1647358798,41.489363667,-71.422724833,58.3,0.0,3
1647358796.922913,1647358799,41.489371167,-71.422727,56.3,0.0,3
1647358797.825489,1647358800,41.4893785,-71.422728833,54.3,0.0,3
1647358798.728188,1647358801,41.489383167,-71.422727667,52.6,0.0,3
1647358799.630713,1647358802,41.489388833,-71.422726667,50.3,0.0,3
1647358800.533626,1647358803,41.4893525,-71.4227335,56.1,0.0,3
1647358801.436505,1647358804,41.4893535,-71.422734833,54.2,133.1,3
1647358802.339307,1647358805,41.489386667,-71.422724333,47.3,0.0,3
1647358803.342302,1647358806,41.489385167,-71.422726167,47.9,0.0,3
1647358804.244987,1647358807,41.489381167,-71.422725667,48.3,0.0,3
1647358805.147596,1647358808,41.489376167,-71.422726167,49.3,0.0,3
1647358806.050435,1647358809,41.489377833,-71.4227275,49.2,0.0,3
1647358806.953354,1647358810,41.489372,-71.422727833,50.2,0.0,3
1647358807.856342,1647358811,41.4893645,-71.422727667,51.5,0.0,3
1647358808.759031,1647358812,41.489367667,-71.422725333,51.1,0.0,3
1647358809.662349,1647358813,41.489363333,-71.422723,51.7,0.0,3
1647358810.665438,1647358814,41.489356833,-71.422721,52.6,0.0,3
1647358811.568062,1647358815,41.489356,-71.422717667,52.5,0.0,3
1647358812.471079,1647358816,41.489350333,-71.422714333,53.3,0.0,3
